mood,acousticness,danceability,energy,instrumentalness,key,mode,tempo,valence
happy,0.286,0.733,0.708,3.83e-05,8,1,122.024,0.466
happy,0.0184,0.683,0.817,2.32e-05,2,1,140.019,0.964
happy,0.0344,0.704,0.636,0,9,1,111.845,0.89
happy,0.533,0.535,0.548,1.48e-06,1,1,115.144,0.477
happy,0.279,0.719,0.461,0,8,1,123.915,0.548
happy,0.595,0.766,0.354,0,6,1,153.902,0.792
happy,0.126,0.497,0.914,1.98e-05,9,1,148.893,0.385
happy,0.0185,0.779,0.648,0,7,1,90.292,0.72
happy,0.107,0.736,0.669,0,1,1,86.531,0.797
happy,0.0242,0.343,0.503,0.00184,6,0,146.11,0.5
happy,0.0504,0.701,0.711,0.0304,0,1,133.027,0.567
happy,0.0767,0.777,0.658,0,0,1,110.048,0.633
happy,0.0372,0.727,0.58,0.00377,6,1,114.21,0.75
happy,0.0576,0.692,0.787,0,4,0,120.016,0.919
happy,0.119,0.608,0.762,0,1,1,89.957,0.687
happy,0.292,0.708,0.477,1.75e-06,8,1,149.929,0.733
happy,0.402,0.768,0.519,0,5,1,112.973,0.452
happy,0.201,0.818,0.623,0,9,0,120.104,0.968
happy,0.65,0.71,0.661,6.53e-06,1,1,135.005,0.654
happy,0.205,0.651,0.533,0,6,0,138.129,0.723
happy,0.465,0.799,0.461,0,10,1,104.084,0.68
happy,0.107,0.535,0.792,0.000129,6,1,172.03,0.541
happy,0.595,0.766,0.354,0,6,1,153.902,0.792
happy,0.0893,0.787,0.686,0,6,0,123.51,0.836
happy,0.13,0.826,0.745,1.32e-05,2,1,119.92,0.883
happy,0.286,0.733,0.708,3.83e-05,8,1,122.024,0.466
happy,0.08,0.719,0.607,0,8,1,128.006,0.464
happy,0.349,0.77,0.435,1.54e-05,8,1,139.946,0.479
happy,0.141,0.765,0.663,0.000297,0,1,150.091,0.686
happy,0.0344,0.704,0.636,0,9,1,111.845,0.89
happy,0.298,0.668,0.892,0,5,0,95.927,0.478
happy,0.105,0.707,0.562,0,2,1,122.993,0.525
happy,0.696,0.786,0.382,0.000313,7,1,126.972,0.507
happy,0.383,0.851,0.424,0,6,1,94.927,0.591
happy,0.169,0.668,0.902,8.74e-05,2,1,119.008,0.913
happy,0.268,0.737,0.571,3.13e-05,11,1,174.968,0.836
happy,0.268,0.795,0.814,0.000782,4,1,119.991,0.962
happy,0.28,0.725,0.543,0.475,6,1,140.051,0.415
happy,0.593,0.524,0.733,0,7,1,112.716,0.674
happy,0.281,0.639,0.513,1.53e-05,9,1,86.106,0.418
happy,0.0505,0.563,0.735,0.0281,7,1,94.973,0.693
happy,0.297,0.652,0.855,0,10,1,144.978,0.8
happy,0.319,0.649,0.381,0.000548,10,1,89.548,0.595
happy,0.104,0.868,0.66,0,7,1,121.925,0.963
happy,0.484,0.856,0.656,0,5,1,133.927,0.949
happy,0.307,0.689,0.751,0.00424,1,1,140.16,0.692
happy,0.156,0.662,0.616,0.000222,4,1,160.071,0.614
happy,0.0384,0.72,0.791,0,1,1,102.071,0.756
happy,0.192,0.917,0.711,6.82e-06,11,0,111.941,0.938
happy,0.533,0.535,0.548,1.48e-06,1,1,115.144,0.477
happy,0.537,0.429,0.798,0,3,0,99.482,0.393
happy,0.0706,0.653,0.515,0,5,1,176.05,0.674
happy,0.643,0.872,0.439,0.00493,3,0,112.996,0.825
happy,0.0296,0.857,0.656,2.67e-06,7,1,110.014,0.875
happy,0.024,0.62,0.655,4.19e-05,4,1,109.987,0.335
happy,0.303,0.907,0.469,0.00495,10,0,100.061,0.924
happy,0.639,0.81,0.471,0.00295,3,1,111.971,0.525
happy,0.14,0.722,0.65,0.000232,0,1,127.916,0.518
happy,0.0277,0.587,0.902,6.43e-06,6,1,175.065,0.819
happy,0.504,0.76,0.447,0.00227,10,1,96.046,0.368
happy,0.548,0.781,0.751,0,2,0,102.103,0.607
happy,0.512,0.724,0.599,0.00291,0,1,147.987,0.861
happy,0.507,0.65,0.648,0,6,0,139.989,0.625
happy,0.144,0.573,0.728,0.00509,6,0,201.974,0.977
happy,0.344,0.733,0.702,0,6,1,145.039,0.947
happy,0.765,0.723,0.545,0.000179,1,0,160.053,0.953
sad,0.163,0.678,0.431,1.94e-06,0,1,90.941,0.404
sad,0.837,0.623,0.448,1.86e-06,0,1,82.465,0.657
sad,0.774,0.651,0.546,0.0437,1,1,107.021,0.623
sad,0.221,0.679,0.688,2.46e-05,1,1,120.005,0.805
sad,0.431,0.691,0.509,0.00682,8,1,113.961,0.473
sad,0.848,0.622,0.244,5.96e-05,6,1,127.89,0.167
sad,0.786,0.317,0.262,0.00142,6,0,119.505,0.355
sad,0.817,0.606,0.377,0,0,1,101.96,0.446
sad,0.941,0.473,0.203,0,2,1,168.884,0.419
sad,0.941,0.629,0.27,0,9,1,93.211,0.37
sad,0.245,0.639,0.526,2.43e-05,0,1,130.033,0.488
sad,0.381,0.53,0.592,0,5,1,125.721,0.544
sad,0.757,0.515,0.387,0,7,1,86.313,0.408
sad,0.931,0.377,0.44,0.0196,4,1,128.999,0.224
sad,0.697,0.56,0.674,0,10,1,119.943,0.421
sad,0.369,0.327,0.449,0.00444,10,1,123.969,0.179
sad,0.0767,0.384,0.617,0.00228,5,1,82.98,0.251
sad,0.879,0.591,0.242,0,0,0,118.001,0.292
sad,0.776,0.498,0.241,2.51e-05,0,1,121.848,0.131
sad,0.783,0.41,0.312,6.36e-06,7,1,144.751,0.22
sad,0.00615,0.51,0.63,0.000485,2,0,89.812,0.569
sad,0.441,0.67,0.413,8.63e-05,11,1,112.011,0.145
sad,0.00261,0.508,0.797,7.56e-06,1,1,126.982,0.361
sad,0.687,0.591,0.368,0,4,1,122.161,0.423
sad,0.177,0.511,0.532,0,5,1,138.005,0.35
sad,0.0838,0.451,0.907,0.832,10,1,151.988,0.317
sad,0.934,0.197,0.247,0.0163,3,1,75.787,0.407
sad,0.421,0.346,0.501,0,2,1,99.855,0.299
sad,0.943,0.513,0.328,0.0968,4,1,120.519,0.402
sad,0.961,0.403,0.159,0.0121,1,0,72.38,0.0381
sad,0.683,0.489,0.299,0,1,1,171.588,0.378
sad,0.538,0.532,0.623,7.28e-05,5,1,89.937,0.403
sad,0.0157,0.609,0.692,0,1,1,116.959,0.454
sad,0.0496,0.295,0.637,0.0236,8,1,84.551,0.221
sad,0.902,0.518,0.227,0,11,1,81.174,0.571
sad,0.871,0.448,0.338,0,10,1,149.552,0.351
